iter	RMSE
599	2296.005033
600	2283.977106
601	2281.962588
602	2279.97406
603	2278.011156
604	2266.273053
605	2264.352483
606	2262.456546
607	2260.584898
608	2249.128751
609	2247.297257
610	2242.284506
611	2232.60321
612	2227.694775
613	2222.860962
614	2213.78224
615	2204.863422
616	2200.179036
617	2190.824029
618	2181.619688
619	2171.014899
620	2166.481341
621	2157.566532
622	2147.274125
623	2137.146328
624	2124.107687
625	2111.25642
626	2102.872534
627	2090.311582
628	2077.899236
629	2073.621797
630	2067.340259
631	2054.181807
632	2039.757238
633	2035.61996
634	2027.904504
635	2015.104024
636	2007.331195
637	2003.326987
638	1999.384893
639	1985.457391
640	1981.585994
641	1976.668681
642	1962.970315
643	1956.444455
644	1952.699471
645	1949.012745
646	1935.566643
647	1929.283069
648	1925.692089
649	1922.157014
650	1916.063322
651	1902.906462
652	1898.44457
653	1895.023285
654	1882.080254
655	1869.317295
656	1858.304479
657	1854.970517
658	1845.383541
659	1834.602144
660	1822.34499
661	1811.80744
662	1802.603643
663	1793.539015
664	1784.611704
665	1779.189237
666	1770.432823
667	1761.809678
668	1753.318008
669	1744.956038
670	1736.722011
671	1728.065349
672	1718.590652
673	1708.295503
674	1701.180437
675	1692.853433
676	1682.814642
677	1672.909869
678	1665.301823
679	1657.30366
680	1650.631711
681	1642.811756
682	1636.330373
683	1629.908878
684	1627.876323
685	1621.039025
686	1614.300167
687	1612.320411
688	1610.373828
689	1602.400236
690	1596.29263
691	1594.391429
692	1588.414396
693	1583.516817
694	1577.103058
695	1575.265577
696	1573.459118
697	1571.683083
698	1569.198181
699	1561.61391
700	1553.609053
701	1551.194954
702	1548.815852
703	1543.260084
704	1537.816501
705	1530.065259
706	1528.423661
707	1526.809864
708	1519.190883
709	1516.965924
710	1514.773274
711	1511.811443
712	1509.649696
713	1506.74743
714	1505.246872
715	1502.301911
716	1498.212996
717	1495.395605
718	1487.983198
719	1480.644287
720	1474.302042
721	1472.636444
722	1468.708536
723	1462.492779
724	1460.493519
725	1455.154956
726	1448.03782
727	1446.44597
728	1439.439693
729	1433.382023
730	1431.832557
731	1426.748534
732	1425.472095
733	1418.642978
734	1412.72783
735	1411.241959
736	1409.783296
737	1407.665749
738	1405.595719
739	1401.947605
740	1396.147041
741	1390.7398
742	1385.391892
743	1379.809563
744	1375.71061
745	1370.467535
746	1365.281807
747	1360.152798
748	1354.734044
749	1349.687602
750	1343.324983
751	1338.365429
752	1334.061796
753	1329.175789
754	1323.82719
755	1318.542945
756	1313.761008
757	1308.637529
758	1303.931885
759	1297.847803
760	1293.223478
761	1289.502482
762	1284.942331
763	1279.899339
764	1274.984193
765	1270.519405
766	1265.680869
767	1261.286629
768	1256.940056
769	1252.111733
770	1246.337723
771	1242.088156
772	1238.572334
773	1233.856239
774	1230.081177
775	1226.672003
776	1222.523899
777	1218.420579
778	1214.361582
779	1211.015357
780	1206.475621
781	1200.966896
782	1197.008046
783	1193.215607
784	1188.781115
785	1185.53233
786	1181.655576
787	1177.820547
788	1174.026821
789	1170.857912
790	1167.744195
791	1164.081361
792	1160.354616
793	1156.120834
794	1151.93861
795	1149.564238
796	1146.580542
797	1142.934211
798	1140.635189
799	1137.738583
800	1134.136651
801	1130.064565
802	1126.413723
803	1125.349943
804	1121.851374
805	1116.54924
806	1113.049572
807	1109.525411
808	1106.06094
809	1102.655236
810	1099.748239
811	1096.888015
812	1093.491962
813	1090.132456
814	1087.330843
815	1084.346092
816	1081.423856
817	1078.562884
818	1075.761946
819	1073.01983
820	1069.661849
821	1068.145596
822	1064.873625
823	1062.202362
824	1060.735322
825	1057.511219
826	1054.220752
827	1051.366407
828	1049.957017
829	1046.783701
830	1043.644849
831	1041.049068
832	1037.840861
833	1033.90794
834	1030.827067
835	1027.224949
836	1024.48842
837	1021.458576
838	1018.46163
839	1015.311973
840	1012.352015
841	1009.251518
842	1006.195204
843	1003.182501
844	999.7405686
845	993.658902
846	990.2825433
847	988.7950475
848	984.3431123
849	981.0265026
850	977.7500567
851	975.2277397
852	972.4034685
853	969.9259195
854	968.5132384
855	965.3185247
856	962.1624147
857	959.3984545
858	956.2916559
859	953.5686686
860	951.18682
861	948.1388498
862	945.6779686
863	942.6667802
864	939.9955592
865	938.6623259
866	936.3566443
867	935.0579939
868	932.4243076
869	929.6981791
870	926.7713754
871	924.179293
872	923.1111317
873	920.4503721
874	919.4096805
875	917.135376
876	914.5950175
877	912.0849211
878	909.4570096
879	906.979791
880	904.1521529
881	901.7110711
882	898.079578
883	895.5609508
884	893.0204322
885	890.6339508
886	889.664525
887	887.1637397
888	884.8130052
889	882.0896676
890	879.3988756
891	876.7402399
892	873.9781118
893	871.2471142
894	869.2226407
895	868.2911373
896	864.70472
897	862.6286191
898	860.3043728
899	856.9443875
900	855.0211918
901	852.3792509
902	848.5312672
903	845.4655455
904	841.6967285
905	839.1194635
906	836.131054
907	833.922993
908	831.3908539
909	827.7294992
910	825.5725843
911	823.2731946
912	820.8774851
913	818.4262083
914	816.002567
915	814.0943802
916	810.5491864
917	807.7135709
918	805.8634592
919	802.3975874
920	801.5268595
921	800.6685732
922	798.4679552
923	796.1290164
924	795.281312
925	791.8758273
926	791.0394126
927	790.217693
928	788.1116429
929	785.9897915
930	783.8348007
931	780.5004212
932	778.2890775
933	776.04298
934	773.9718089
935	771.937387
936	771.1459882
937	769.1379094
938	766.9382225
939	764.9624519
940	762.8692182
941	760.918518
942	758.9908916
943	756.9312588
944	753.7816061
945	752.9759689
946	750.8506045
947	748.7807231
948	746.813752
949	744.8883149
950	742.7941279
951	740.9099521
952	740.1220852
953	739.2678297
954	737.4261331
955	735.62978
956	733.6414974
957	732.8905289
958	731.145555
959	729.5671877
960	727.7611213
961	727.0321013
962	725.2490992
963	723.4872376
964	721.5778089
965	719.7037983
966	718.9934883
967	717.2617805
968	715.3247247
969	713.6147556
970	711.9171928
971	710.2707428
972	708.7750252
973	707.0868079
974	705.1917434
975	703.5850319
976	701.8920698
977	700.2689215
978	698.4733464
979	696.8601759
980	695.3069235
981	693.7109645
982	691.7790367
983	690.2084242
984	688.39613
985	686.4993673
986	684.8809017
987	683.0108233
988	681.5321139
989	679.973005
990	678.4334252
991	676.9220211
992	676.285825
993	674.5744076
994	671.7764001
995	671.1538112
996	670.0018398
997	668.2692678
998	667.1556071
999	665.4313184
