iter	Passed	Remaining
405	6986	10221
406	6997	10195
407	7012	10174
408	7024	10150
409	7038	10128
410	7052	10107
411	7067	10086
412	7082	10066
413	7096	10045
414	7108	10020
415	7122	9999
416	7136	9977
417	7151	9957
418	7166	9936
419	7181	9916
420	7197	9899
421	7211	9877
422	7226	9856
423	7242	9838
424	7257	9818
425	7271	9797
426	7285	9776
427	7300	9756
428	7314	9736
429	7330	9716
430	7344	9696
431	7359	9675
432	7373	9656
433	7388	9635
434	7403	9615
435	7417	9595
436	7434	9577
437	7449	9557
438	7463	9537
439	7478	9518
440	7492	9497
441	7505	9474
442	7520	9455
443	7535	9436
444	7552	9418
445	7566	9398
446	7582	9381
447	7598	9361
448	7614	9344
449	7631	9327
450	7654	9317
451	7674	9304
452	7688	9283
453	7709	9271
454	7723	9250
455	7738	9231
456	7755	9215
457	7773	9198
458	7791	9182
459	7803	9160
460	7819	9142
461	7835	9124
462	7853	9108
463	7868	9089
464	7883	9069
465	7900	9053
466	7914	9032
467	7932	9017
468	7950	9001
469	7968	8986
470	7983	8966
471	8005	8955
472	8019	8935
473	8036	8918
474	8053	8900
475	8069	8883
476	8086	8866
477	8102	8848
478	8119	8831
479	8135	8813
480	8152	8797
481	8172	8782
482	8198	8775
483	8214	8757
484	8233	8742
485	8250	8725
486	8266	8707
487	8279	8687
488	8293	8666
489	8310	8650
490	8325	8630
491	8340	8612
492	8355	8593
493	8370	8573
494	8384	8554
495	8399	8534
496	8414	8516
497	8430	8498
498	8445	8479
499	8459	8459
500	8474	8440
501	8488	8420
502	8503	8401
503	8518	8383
504	8532	8363
505	8551	8348
506	8564	8327
507	8578	8308
508	8594	8290
509	8639	8300
510	8666	8293
511	8694	8287
512	8723	8281
513	8766	8289
514	8788	8276
515	8814	8267
516	8835	8254
517	8868	8251
518	8894	8243
519	8918	8232
520	8941	8220
521	8965	8210
522	8984	8194
523	9001	8177
524	9018	8159
525	9039	8145
526	9054	8127
527	9072	8110
528	9091	8094
529	9106	8075
530	9122	8057
531	9137	8038
532	9152	8019
533	9167	8000
534	9181	7980
535	9196	7961
536	9211	7942
537	9226	7922
538	9240	7903
539	9253	7882
540	9266	7861
541	9282	7844
542	9298	7825
543	9313	7806
544	9328	7787
545	9341	7767
546	9356	7748
547	9376	7733
548	9393	7717
549	9411	7700
550	9429	7683
551	9446	7666
552	9463	7649
553	9477	7629
554	9494	7613
555	9512	7596
556	9529	7579
557	9543	7559
558	9562	7543
559	9579	7526
560	9596	7509
561	9613	7491
562	9629	7474
563	9644	7456
564	9658	7436
565	9674	7418
566	9693	7402
